family	hw.model	board-id	serial.type	eee.code	bios.version	y1	y2	y3	y4
MacBook Air	MacBookAir5,2	Mac-2E6FAB96566FE58C	12	DRVC	MBA51.88Z.00EF.B00.1205221442	2013	2012		
MacBook Air	MacBookAir6,2	Mac-7DF21CB3ED6977E5	12	F5V8	MBA61.88Z.0099.B04.1305241529	2013			
iMac	iMac8,1	Mac-F227BEC8	11	ZE3	IM81.88Z.00C1.B00.0802091538	2009	2008		
iMac	iMac9,1	Mac-F2218EC8	11	0TF	IM91.88Z.008D.B00.0901142258	2009			
iMac	iMac10,1	Mac-F2268CC8	11	B9U	IM101.88Z.00CC.B00.0909031926	2010	2009		
iMac	iMac11,1	Mac-F2268DAE	11	5RU	IM111.88Z.0034.B02.1003171314	2010	2009		
iMac	iMac11,2	Mac-F2238AC8	11	DNN	IM112.88Z.0057.B00.1005031455	2011	2010		
iMac	iMac11,3	Mac-F2238BAE	11	DB6	IM112.88Z.0057.B00.1005051455	2011	2010		
iMac	iMac12,1	Mac-942B5BF58194151B	12	DHJT	IM121.88Z.0047.B0A.1104221555	2012	2011		
iMac	iMac12,2	Mac-942B59F58194171B	12	DHJP	IM121.88Z.0047.B1D.1110171110	2012	2011		
iMac	iMac13,1	Mac-00BE6ED71E35EB86	12	DNCT	IM131.88Z.010A.B05.1209042338	2013	2012		
iMac	iMac13,2	Mac-FC02E91DDD3FA6A4	12	DNMP	IM131.88Z.010A.B05.1210121459	2013	2012		
iMac	iMac14,1	Mac-031B6874CF7F642A	12	F8J3	IM141.88Z.0118.B00.1309031248	2013			
iMac	iMac14,2	Mac-27ADBB7B4CEE8E61	12	F8JC	IM142.88Z.0118.B00.1309031249	2013			
iMac	iMac15,1	Mac-42FD25EABCABB274	12	FY11	IM151.88Z.0207.B00.1409291931	2014			
MacBook Pro	MacBookPro1,1	Mac-F425BEC8	11	VJ1	MBP11.88Z.0055.B08.0610121325	2008	2007		
MacBook Pro	MacBookPro3,1	Mac-F4238BC8	11	X91	MBP31.88Z.0070.B07.0803051658	2008	2007		
MacBook Pro	MacBookPro4,1	Mac-F42C89C8	11	YP4	MBP41.88Z.00C1.B00.0802091544	2008			
MacBook Pro	MacBookPro5,1	Mac-F42D86C8	11	1G0	MBP51.88Z.007E.B05.0905051508	2009	2008		
MacBook Pro	MacBookPro5,4	Mac-F22587A1	11	7XK	MBP53.88Z.00AC.B03.0906151647	2010	2009		
MacBook Pro	MacBookPro5,5	Mac-F2268AC8	11	66D	MBP55.88Z.00AC.B03.0906151708	2010	2009		
MacBook Pro	MacBookPro6,1	Mac-F22589C8	12	DC79	MBP61.88Z.0057.B0C.1007261552	2011	2010		
MacBook Pro	MacBookPro6,2	Mac-F22589C8	11	AGW	MBP61.88Z.0057.B0C.1007261552	2011	2010		
MacBook Pro	MacBookPro7,1	Mac-F222BEC8	11	ATM	MBP71.88Z.0039.B05.1003251322	2011	2010		
MacBook Pro	MacBookPro8,1	Mac-94245B3640C91C81	12	DH2G	MBP81.88Z.0047.B0E.1104221557	2012	2011		
MacBook Pro	MacBookPro8,2	Mac-94245A3940C91C80	12	DF8X	MBP81.88Z.0047.B24.1110141131	2012	2011		
